;verheiratet;nicht verheirate
1950;998767;117934
1951;988803;117577
1952;993158;111926
1953;987023;108006
1954;1002099;107644
1955;1010853;102555
1956;1036127;101042
1957;1065363;100192
1958;1080378;95492
1959;1145149;98773
1960;1166293;95321
1961;1219747;93758
1962;1229857;86677
1963;1272318;83277
1964;1276673;80631
1965;1248843;76543
1966;1243677;74626
1967;1198275;74001
1968;1140589;74379
1969;1067224;75142
1970;971935;75802
1971;932627;80769
1972;826772;74885
1973;747929;68040
1974;737045;68455
1975;716196;66114
1976;728387;69947
1977;732645;72851
1978;728222;80397
1979;729627;87590
1980;762868;102921
1981;751985;110115
1982;738209;123066
1983;700588;127345
1984;682747;129545
1985;681771;132032
1986;711900;136332
1987;731507;136462
1988;752887;140106
1989;743877;136582
1990;766920;138755
1991;704832;125187
1992;688666;120448
1993;680163;118284
1994;651143;118460
1995;642345;122876
1996;660313;135700
1997;666340;145833
1998;627917;157117
1999;600110;170634
2000;587425;179574
2001;550659;183816
2002;531289;187961
2003;516080;190641
2004;508493;197129
2005;485673;200122
2006;471205;201519
2007;473809;211053
2008;463627;218887
2009;447368;217758
2010;452475;225472
2011;437941;224744
2012;441161;232383
2013;444507;237562
2014;464853;250074
2015;479672;257903
2016;510999;281132
2017;512160;272724
2018;520627;266896
2019;519255;258835
2020;517336;255808
2021;534750;260742
